Well,Date,Oil_Calday,Oil_Cum
14-02,5/1/1983,105,240.98
14-02,6/1/1983,108,244.22
14-02,7/1/1983,125,248.09
14-02,8/1/1983,104,251.31
14-02,9/1/1983,88,253.94
14-02,10/1/1983,85,256.56
14-02,11/1/1983,88,259.19
14-02,12/1/1983,85,261.82
14-02,1/1/1984,85,264.45
14-02,2/1/1984,67,266.38
14-02,3/1/1984,62,268.32
14-02,4/1/1984,65,270.26
14-02,5/1/1984,54,271.92
14-02,7/1/1984,54,273.59
14-02,8/1/1984,54,275.26
14-02,1/1/1985,50,276.80
14-02,2/1/1985,55,278.34
14-02,3/1/1985,57,280.12
14-02,4/1/1985,50,281.61
14-02,5/1/1985,59,283.44
14-02,6/1/1985,61,285.28
14-02,7/1/1985,66,287.33
14-02,8/1/1985,66,289.38
14-02,9/1/1985,57,291.09
14-02,10/1/1985,54,292.75
14-02,11/1/1985,55,294.42
14-02,12/1/1985,54,296.08
14-02,1/1/1986,54,297.74
14-02,2/1/1986,59,299.41
14-02,3/1/1986,54,301.07
14-02,4/1/1986,55,302.73
14-02,5/1/1986,34,303.79
14-02,6/1/1986,35,304.85
14-02,7/1/1986,34,305.90
14-02,8/1/1986,34,306.96
14-02,9/1/1986,35,308.02
14-02,10/1/1986,34,309.07
14-02,2/1/1987,38,310.13
14-02,3/1/1987,34,311.19
14-02,4/1/1987,35,312.24
14-02,5/1/1987,34,313.30
14-02,6/1/1987,35,314.35
14-02,7/1/1987,42,315.65
14-02,8/1/1987,42,316.94
14-02,11/1/1987,43,318.23
14-02,12/1/1987,39,319.45
14-02,1/1/1988,39,320.67
14-02,2/1/1988,54,322.22
14-02,3/1/1988,48,323.72
14-02,4/1/1988,48,325.15
14-02,5/1/1988,44,326.53
14-02,6/1/1988,43,327.83
14-02,7/1/1988,33,328.84
14-02,8/1/1988,22,329.51
14-02,9/1/1988,18,330.06
14-02,10/1/1988,15,330.53
14-02,11/1/1988,14,330.94
14-02,12/1/1988,6,331.12
14-02,6/1/1993,221,337.76
14-02,7/1/1993,481,352.67
14-02,8/1/1993,436,366.20
14-02,9/1/1993,403,378.27
14-02,10/1/1993,357,389.35
14-02,11/1/1993,336,399.43
14-02,12/1/1993,315,409.20
14-02,1/1/1994,290,418.21
14-02,2/1/1994,306,426.76
14-02,3/1/1994,265,434.98
14-03,1/1/1982,84,2.60
14-03,2/1/1982,83,4.91
14-03,3/1/1982,97,7.92
14-03,4/1/1982,93,10.72
14-03,5/1/1982,71,12.92
14-03,6/1/1982,76,15.20
14-03,7/1/1982,91,18.02
14-03,8/1/1982,91,20.84
14-03,9/1/1982,83,23.32
14-03,10/1/1982,77,25.70
14-03,11/1/1982,85,28.25
14-03,12/1/1982,84,30.86
14-03,1/1/1983,83,33.44
14-03,2/1/1983,76,35.58
14-03,3/1/1983,69,37.72
14-03,4/1/1983,71,39.85
14-03,5/1/1983,69,41.99
14-03,6/1/1983,60,43.79
14-03,7/1/1983,58,45.58
14-03,8/1/1983,72,47.80
14-03,9/1/1983,74,50.03
14-03,10/1/1983,72,52.25
14-03,11/1/1983,74,54.47
14-03,3/1/1985,72,56.69
14-03,4/1/1985,74,58.91
14-03,5/1/1985,21,59.55
14-03,6/1/1985,22,60.21
14-03,7/1/1985,16,60.71
14-03,8/1/1985,16,61.21
14-03,9/1/1985,17,61.71
14-03,10/1/1985,16,62.21
14-03,10/1/1990,16,62.72
14-03,11/1/1990,17,63.22
14-03,12/1/1990,16,63.72
14-03,1/1/1991,16,64.22
14-03,2/1/1991,2,64.27
15-02,8/1/1979,46,1.42
15-02,9/1/1979,696,22.29
15-02,10/1/1979,652,42.52
15-02,11/1/1979,497,57.42
15-02,12/1/1979,583,75.48
15-02,1/1/1980,583,93.55
15-02,2/1/1980,676,113.15
15-02,3/1/1980,458,127.34
15-02,4/1/1980,486,141.91
15-02,5/1/1980,470,156.49
15-02,6/1/1980,486,171.06
15-02,7/1/1980,398,183.38
15-02,8/1/1980,365,194.71
15-02,9/1/1980,378,206.04
15-02,10/1/1980,333,216.36
15-02,11/1/1980,344,226.69
15-02,12/1/1980,301,236.01
15-02,1/1/1981,395,248.26
15-02,2/1/1981,343,257.86
15-02,3/1/1981,310,267.46
15-02,4/1/1981,385,279.01
15-02,5/1/1981,373,290.57
15-02,6/1/1981,371,301.70
15-02,7/1/1981,359,312.83
15-02,8/1/1981,330,323.08
15-02,9/1/1981,323,332.77
15-02,10/1/1981,313,342.46
15-02,11/1/1981,382,353.91
15-02,12/1/1981,403,366.39
15-02,1/1/1982,403,378.87
15-02,2/1/1982,440,391.20
15-02,3/1/1982,330,401.41
15-02,5/1/1982,243,408.96
15-02,6/1/1982,300,417.95
15-02,7/1/1982,231,425.12
15-02,8/1/1982,245,432.71
15-02,9/1/1982,257,440.42
15-02,10/1/1982,295,449.56
15-02,11/1/1982,401,461.61
15-02,12/1/1982,390,473.70
15-02,2/1/1983,319,482.63
15-02,4/1/1983,297,491.55
15-02,5/1/1983,414,504.39
15-02,6/1/1983,354,515.01
15-02,7/1/1983,367,526.40
15-02,8/1/1983,323,536.40
15-02,9/1/1983,291,545.13
15-02,10/1/1983,363,556.38
15-02,11/1/1983,370,567.47
15-02,12/1/1983,358,578.56
15-02,1/1/1984,345,589.26
15-02,2/1/1984,317,598.46
15-02,3/1/1984,297,607.66
15-02,4/1/1984,245,615.01
15-02,5/1/1984,213,621.61
15-02,6/1/1984,296,630.50
15-02,7/1/1984,220,637.31
15-02,8/1/1984,274,645.80
15-02,9/1/1984,291,654.55
15-02,10/1/1984,290,663.55
15-02,11/1/1984,344,673.87
15-02,12/1/1984,245,681.48
15-02,1/1/1985,305,690.94
15-02,2/1/1985,338,700.41
15-02,3/1/1985,316,710.22
15-02,4/1/1985,315,719.66
15-02,5/1/1985,320,729.58
15-02,6/1/1985,243,736.88
15-02,7/1/1985,292,745.93
15-02,8/1/1985,292,754.98
15-02,9/1/1985,369,766.06
15-02,10/1/1985,357,777.14
15-02,11/1/1985,235,784.18
15-02,12/1/1985,255,792.09
15-02,1/1/1986,281,800.80
15-02,2/1/1986,311,809.50
15-02,3/1/1986,240,816.94
15-02,4/1/1986,248,824.37
15-02,5/1/1986,240,831.81
15-02,6/1/1986,248,839.24
15-02,7/1/1986,240,846.68
15-02,8/1/1986,240,854.11
15-02,9/1/1986,248,861.54
15-02,10/1/1986,142,865.95
15-02,11/1/1986,184,871.47
15-02,12/1/1986,178,876.99
15-02,1/1/1987,140,881.34
15-02,2/1/1987,179,886.35
15-02,3/1/1987,162,891.36
15-02,4/1/1987,270,899.47
15-02,5/1/1987,261,907.57
15-02,6/1/1987,248,915.02
15-02,7/1/1987,240,922.48
15-02,8/1/1987,226,929.49
15-02,9/1/1987,217,936.00
15-02,10/1/1987,194,942.01
15-02,11/1/1987,190,947.71
15-02,12/1/1987,236,955.03
15-02,1/1/1988,224,961.98
15-02,2/1/1988,241,968.96
15-02,3/1/1988,211,975.50
15-02,4/1/1988,206,981.69
15-02,5/1/1988,194,987.69
15-02,6/1/1988,181,993.13
15-02,7/1/1988,180,998.71
15-02,8/1/1988,171,1004.00
15-02,9/1/1988,170,1009.09
15-02,10/1/1988,158,1013.97
15-02,11/1/1988,156,1018.66
15-02,12/1/1988,145,1023.15
15-02,1/1/1989,138,1027.44
15-02,4/1/1989,198,1033.37
15-02,5/1/1989,188,1039.20
15-02,6/1/1989,194,1045.03
15-02,7/1/1989,193,1051.01
15-02,8/1/1989,193,1056.98
15-02,9/1/1989,182,1062.43
15-02,10/1/1989,172,1067.77
15-02,11/1/1989,156,1072.47
15-02,12/1/1989,154,1077.23
15-02,1/1/1990,149,1081.84
15-02,2/1/1990,153,1086.14
15-02,3/1/1990,154,1090.92
15-02,4/1/1990,157,1095.62
15-02,5/1/1990,157,1100.50
15-02,6/1/1990,154,1105.11
15-02,7/1/1990,139,1109.43
15-02,8/1/1990,129,1113.43
15-02,9/1/1990,132,1117.40
15-02,10/1/1990,124,1121.26
15-02,11/1/1990,125,1125.02
15-02,12/1/1990,121,1128.79
15-02,1/1/1991,124,1132.64
15-02,2/1/1991,142,1136.62
15-02,3/1/1991,125,1140.49
15-02,4/1/1991,131,1144.43
15-02,5/1/1991,127,1148.37
15-02,6/1/1991,151,1152.90
15-02,7/1/1991,145,1157.40
15-02,8/1/1991,138,1161.69
15-02,9/1/1991,136,1165.76
15-02,10/1/1991,142,1170.15
15-02,11/1/1991,136,1174.23
15-02,12/1/1991,129,1178.23
15-02,1/1/1992,125,1182.11
15-02,2/1/1992,136,1186.04
15-02,3/1/1992,122,1189.84
15-02,4/1/1992,141,1194.08
15-02,5/1/1992,137,1198.32
15-02,6/1/1992,116,1201.80
15-02,7/1/1992,142,1206.19
15-02,8/1/1992,115,1209.77
15-02,9/1/1992,119,1213.33
15-02,10/1/1992,120,1217.04
15-02,11/1/1992,98,1219.98
15-02,12/1/1992,94,1222.89
15-02,1/1/1993,94,1225.80
15-02,2/1/1993,100,1228.61
15-02,3/1/1993,91,1231.42
15-02,4/1/1993,128,1235.26
15-02,5/1/1993,124,1239.11
15-02,6/1/1993,128,1242.96
15-02,7/1/1993,132,1247.04
15-02,8/1/1993,90,1249.82
15-02,9/1/1993,97,1252.74
15-02,10/1/1993,114,1256.28
15-02,11/1/1993,110,1259.59
15-02,12/1/1993,92,1262.44
15-02,1/1/1994,92,1265.29
15-02,2/1/1994,102,1268.14
15-02,3/1/1994,92,1270.99
15-03,2/1/1979,155,4.35
15-03,3/1/1979,272,12.78
15-03,4/1/1979,257,20.50
15-03,5/1/1979,239,27.90
15-03,6/1/1979,218,34.46
15-03,7/1/1979,207,40.87
15-03,8/1/1979,207,47.28
15-03,9/1/1979,212,53.64
15-03,10/1/1979,194,59.66
15-03,11/1/1979,199,65.63
15-03,12/1/1979,214,72.28
15-03,1/1/1980,185,78.00
15-03,2/1/1980,171,82.96
15-03,3/1/1980,186,88.71
15-03,4/1/1980,203,94.81
15-03,5/1/1980,200,101.01
15-03,6/1/1980,202,107.06
15-03,7/1/1980,177,112.55
15-03,8/1/1980,141,116.92
15-03,9/1/1980,146,121.30
15-03,10/1/1980,122,125.07
15-03,11/1/1980,189,130.74
15-03,12/1/1980,196,136.83
15-03,1/1/1981,203,143.13
15-03,2/1/1981,197,148.65
15-03,3/1/1981,195,154.70
15-03,4/1/1981,140,158.92
15-03,5/1/1981,176,164.37
15-03,6/1/1981,127,168.18
15-03,7/1/1981,123,171.99
15-03,8/1/1981,152,176.70
15-03,9/1/1981,156,181.37
15-03,10/1/1981,138,185.66
15-03,11/1/1981,184,191.18
15-03,12/1/1981,127,195.11
15-03,1/1/1982,175,200.54
15-03,2/1/1982,178,205.53
15-03,3/1/1982,158,210.44
15-03,4/1/1982,182,215.90
15-03,5/1/1982,109,219.27
15-03,6/1/1982,164,224.19
15-03,7/1/1982,159,229.11
15-03,8/1/1982,129,233.11
15-03,9/1/1982,133,237.11
15-03,10/1/1982,134,241.27
15-03,11/1/1982,139,245.43
15-03,12/1/1982,134,249.58
15-03,1/1/1983,119,253.28
15-03,2/1/1983,93,255.89
15-03,3/1/1983,112,259.36
15-03,4/1/1983,98,262.31
15-03,5/1/1983,117,265.94
15-03,6/1/1983,115,269.39
15-03,7/1/1983,121,273.13
15-03,8/1/1983,122,276.90
15-03,9/1/1983,103,279.98
15-03,10/1/1983,127,283.91
15-03,11/1/1983,127,287.74
15-03,12/1/1983,129,291.74
15-03,1/1/1984,119,295.42
15-03,2/1/1984,117,298.81
15-03,3/1/1984,103,301.99
15-03,4/1/1984,106,305.18
15-03,5/1/1984,103,308.39
15-03,6/1/1984,97,311.30
15-03,7/1/1984,76,313.67
15-03,8/1/1984,80,316.15
15-03,9/1/1984,109,319.42
15-03,10/1/1984,105,322.69
15-03,11/1/1984,107,325.90
15-03,12/1/1984,68,328.00
15-03,1/1/1985,81,330.51
15-03,2/1/1985,88,332.97
15-03,3/1/1985,78,335.39
15-03,4/1/1985,81,337.81
15-03,5/1/1985,90,340.59
15-03,6/1/1985,93,343.37
15-03,7/1/1985,90,346.15
15-03,8/1/1985,90,348.94
15-03,9/1/1985,93,351.72
15-03,10/1/1985,106,355.01
15-03,11/1/1985,111,358.33
15-03,12/1/1985,119,362.03
15-03,1/1/1986,114,365.56
15-03,2/1/1986,85,367.95
15-03,3/1/1986,117,371.59
15-03,4/1/1986,121,375.23
15-03,5/1/1986,83,377.81
15-03,6/1/1986,86,380.39
15-03,7/1/1986,83,382.97
15-03,8/1/1986,115,386.53
15-03,9/1/1986,119,390.09
15-03,10/1/1986,114,393.61
15-03,11/1/1986,117,397.13
15-03,12/1/1986,79,399.56
15-03,1/1/1987,87,402.27
15-03,2/1/1987,121,405.66
15-03,3/1/1987,104,408.89
15-03,4/1/1987,109,412.15
15-03,5/1/1987,105,415.41
15-03,6/1/1987,138,419.56
15-03,7/1/1987,122,423.33
15-03,8/1/1987,110,426.75
15-03,9/1/1987,103,429.84
15-03,10/1/1987,102,433.00
15-03,11/1/1987,93,435.81
15-03,12/1/1987,82,438.36
15-03,1/1/1988,82,440.90
15-03,2/1/1988,70,442.93
15-03,3/1/1988,82,445.48
15-03,4/1/1988,95,448.32
15-03,5/1/1988,94,451.24
15-03,6/1/1988,88,453.87
15-03,7/1/1988,82,456.42
15-03,8/1/1988,80,458.91
15-03,9/1/1988,63,460.79
15-03,10/1/1988,86,463.46
15-03,11/1/1988,83,465.96
15-03,12/1/1988,82,468.48
15-03,1/1/1989,84,471.10
15-03,2/1/1989,86,473.51
15-03,3/1/1989,92,476.37
15-03,4/1/1989,91,479.10
15-03,5/1/1989,91,481.92
15-03,6/1/1989,90,484.62
15-03,7/1/1989,89,487.37
15-03,8/1/1989,91,490.18
15-03,9/1/1989,83,492.68
15-03,10/1/1989,92,495.52
15-03,11/1/1989,89,498.18
15-03,12/1/1989,92,501.03
15-03,1/1/1990,82,503.56
15-03,2/1/1990,83,505.88
15-03,3/1/1990,80,508.36
15-03,4/1/1990,82,510.83
15-03,5/1/1990,71,513.03
15-03,6/1/1990,73,515.22
15-03,7/1/1990,61,517.12
15-03,8/1/1990,61,519.01
15-03,9/1/1990,63,520.90
15-03,10/1/1990,61,522.79
15-03,11/1/1990,79,525.17
15-03,12/1/1990,70,527.34
15-03,1/1/1991,83,529.92
15-03,2/1/1991,85,532.30
15-03,3/1/1991,87,534.99
15-03,4/1/1991,82,537.44
15-03,5/1/1991,84,540.06
15-03,6/1/1991,87,542.68
15-03,7/1/1991,81,545.19
15-03,8/1/1991,91,548.00
15-03,9/1/1991,78,550.35
15-03,10/1/1991,86,553.02
15-03,11/1/1991,86,555.59
15-03,12/1/1991,83,558.17
15-03,1/1/1992,86,560.83
15-03,2/1/1992,83,563.23
15-03,3/1/1992,82,565.78
15-03,4/1/1992,93,568.59
15-03,5/1/1992,81,571.10
15-03,6/1/1992,60,572.90
15-03,7/1/1992,76,575.26
15-03,8/1/1992,75,577.57
15-03,9/1/1992,76,579.85
15-03,10/1/1992,83,582.42
15-03,11/1/1992,70,584.51
15-03,12/1/1992,67,586.58
15-03,1/1/1993,64,588.56
15-03,2/1/1993,56,590.11
15-03,3/1/1993,63,592.07
15-03,4/1/1993,64,594.00
15-03,5/1/1993,65,596.01
15-03,6/1/1993,67,598.02
15-03,7/1/1993,70,600.18
15-03,8/1/1993,61,602.07
15-03,9/1/1993,61,603.89
15-03,10/1/1993,64,605.87
15-03,11/1/1993,61,607.69
15-03,12/1/1993,69,609.85
15-03,1/1/1994,69,612.00
15-03,2/1/1994,77,614.15
15-03,3/1/1994,69,616.31
15-04,11/1/1987,38,1.15
15-04,12/1/1987,110,4.56
15-04,1/1/1988,89,7.32
15-04,2/1/1988,94,10.03
15-04,3/1/1988,88,12.74
15-04,4/1/1988,101,15.76
15-04,5/1/1988,97,18.78
15-04,6/1/1988,81,21.21
15-04,7/1/1988,90,24.01
15-04,8/1/1988,91,26.81
15-04,9/1/1988,86,29.38
15-04,10/1/1988,78,31.79
15-04,11/1/1988,71,33.93
15-04,12/1/1988,67,36.00
15-04,1/1/1989,63,37.94
15-04,2/1/1989,71,39.94
15-04,3/1/1989,73,42.20
15-04,4/1/1989,64,44.13
15-04,5/1/1989,44,45.48
15-04,6/1/1989,71,47.63
15-04,7/1/1989,63,49.58
15-04,8/1/1989,56,51.32
15-04,9/1/1989,52,52.89
15-04,10/1/1989,52,54.51
15-04,11/1/1989,47,55.91
15-04,12/1/1989,42,57.19
15-04,1/1/1990,45,58.57
15-04,2/1/1990,42,59.75
15-04,3/1/1990,43,61.08
15-04,4/1/1990,38,62.22
15-04,5/1/1990,37,63.37
15-04,6/1/1990,43,64.66
15-04,7/1/1990,41,65.94
15-04,8/1/1990,45,67.34
15-04,9/1/1990,45,68.68
15-04,10/1/1990,43,70.02
15-04,11/1/1990,39,71.18
15-04,12/1/1990,28,72.06
15-04,1/1/1991,39,73.28
15-04,2/1/1991,38,74.34
15-04,3/1/1991,37,75.48
15-04,4/1/1991,40,76.68
15-04,5/1/1991,35,77.76
15-04,6/1/1991,32,78.73
15-04,7/1/1991,31,79.69
15-04,8/1/1991,22,80.38
15-04,9/1/1991,23,81.06
15-04,10/1/1991,22,81.75
15-04,11/1/1991,15,82.20
15-04,5/1/1993,22,82.89
15-04,6/1/1993,9,83.14
15-04,7/1/1993,10,83.44
15-04,8/1/1993,10,83.74
15-04,9/1/1993,10,84.03
15-04,10/1/1993,10,84.33
15-04,11/1/1993,10,84.63
15-04,12/1/1993,10,84.92
15-04,1/1/1994,10,85.22
15-04,2/1/1994,12,85.56
15-04,3/1/1994,11,85.90
16-03,1/1/1991,137,4.23
16-03,2/1/1991,222,10.46
16-03,3/1/1991,218,17.20
16-03,4/1/1991,132,21.15
16-03,5/1/1991,119,24.83
16-03,6/1/1991,117,28.33
16-03,7/1/1991,110,31.73
16-03,8/1/1991,104,34.96
16-03,9/1/1991,107,38.18
16-03,10/1/1991,167,43.36
16-03,11/1/1991,173,48.53
16-03,12/1/1991,130,52.58
16-03,1/1/1992,141,56.96
16-03,2/1/1992,149,61.27
16-03,3/1/1992,135,65.46
16-03,4/1/1992,127,69.27
16-03,5/1/1992,89,72.02
16-03,6/1/1992,113,75.42
16-03,7/1/1992,110,78.81
16-03,8/1/1992,107,82.12
16-03,9/1/1992,106,85.30
16-03,10/1/1992,108,88.66
16-03,11/1/1992,117,92.18
16-03,12/1/1992,114,95.70
16-03,1/1/1993,114,99.22
16-03,2/1/1993,126,102.73
16-03,3/1/1993,92,105.58
16-03,4/1/1993,105,108.73
16-03,5/1/1993,101,111.87
16-03,6/1/1993,102,114.94
16-03,7/1/1993,99,118.00
16-03,8/1/1993,92,120.85
16-03,9/1/1993,98,123.79
16-03,10/1/1993,74,126.10
16-03,11/1/1993,111,129.41
16-03,12/1/1993,107,132.73
16-03,1/1/1994,87,135.43
16-03,2/1/1994,93,138.03
16-03,3/1/1994,104,141.24
16-04,2/1/1981,121,3.38
16-04,3/1/1981,119,7.08
16-04,4/1/1981,126,10.86
16-04,5/1/1981,112,14.34
16-04,6/1/1981,79,16.71
16-04,7/1/1981,77,19.08
16-04,8/1/1981,70,21.25
16-04,9/1/1981,72,23.42
16-04,10/1/1981,79,25.88
16-04,11/1/1981,82,28.33
16-04,12/1/1981,79,30.79
16-04,1/1/1982,84,33.38
16-04,2/1/1982,93,35.98
16-04,3/1/1982,88,38.70
16-04,4/1/1982,91,41.42
16-04,5/1/1982,78,43.84
16-04,6/1/1982,87,46.46
16-04,7/1/1982,95,49.41
16-04,8/1/1982,85,52.03
16-04,9/1/1982,99,55.02
16-04,10/1/1982,83,57.60
16-04,11/1/1982,79,59.97
16-04,12/1/1982,78,62.39
16-04,1/1/1983,51,63.97
16-04,2/1/1983,67,65.84
16-04,3/1/1983,51,67.42
16-04,4/1/1983,44,68.72
16-04,5/1/1983,54,70.41
16-04,6/1/1983,56,72.08
16-04,7/1/1983,62,74.02
16-04,8/1/1983,62,75.95
16-04,9/1/1983,53,77.53
16-04,10/1/1983,40,78.76
16-04,11/1/1983,41,79.99
16-04,12/1/1983,40,81.22
16-04,1/1/1984,40,82.45
16-04,2/1/1984,42,83.68
16-04,3/1/1984,38,84.86
16-04,4/1/1984,39,86.04
16-04,5/1/1984,38,87.21
16-04,6/1/1984,39,88.39
16-04,7/1/1984,38,89.57
16-04,8/1/1984,57,91.32
16-04,9/1/1984,41,92.56
16-04,10/1/1984,56,94.30
16-04,11/1/1984,61,96.13
16-04,12/1/1984,57,97.90
16-04,1/1/1985,53,99.53
16-04,2/1/1985,40,100.66
16-04,3/1/1985,37,101.81
16-04,4/1/1985,35,102.86
16-04,5/1/1985,34,103.91
16-04,6/1/1985,45,105.25
16-04,7/1/1985,43,106.59
16-04,8/1/1985,35,107.67
16-04,9/1/1985,31,108.60
16-04,10/1/1985,37,109.75
16-04,11/1/1985,37,110.85
16-04,12/1/1985,35,111.95
16-04,1/1/1986,35,113.05
16-04,2/1/1986,39,114.15
16-04,3/1/1986,35,115.25
16-04,4/1/1986,37,116.35
16-04,5/1/1986,36,117.46
16-04,6/1/1986,37,118.56
16-04,7/1/1986,36,119.67
16-04,8/1/1986,48,121.15
16-04,9/1/1986,37,122.26
16-04,10/1/1986,50,123.80
16-04,11/1/1986,38,124.93
16-04,12/1/1986,42,126.23
16-04,1/1/1987,46,127.68
16-04,2/1/1987,51,129.12
16-04,3/1/1987,45,130.51
16-04,4/1/1987,46,131.89
16-04,5/1/1987,45,133.28
16-04,6/1/1987,46,134.67
16-04,7/1/1987,45,136.06
16-04,8/1/1987,32,137.06
16-04,9/1/1987,44,138.38
16-04,10/1/1987,42,139.69
16-04,11/1/1987,45,141.04
16-04,12/1/1987,41,142.31
16-04,1/1/1988,30,143.25
16-04,6/1/1988,41,144.49
16-04,7/1/1988,40,145.75
16-04,8/1/1988,40,147.00
16-04,9/1/1988,30,147.91
16-04,11/1/1988,30,148.82
16-04,12/1/1988,41,150.08
16-04,1/1/1989,41,151.34
16-04,2/1/1989,37,152.36
16-04,3/1/1989,40,153.61
16-04,4/1/1989,43,154.90
16-04,5/1/1989,42,156.19
16-04,6/1/1989,43,157.48
16-04,7/1/1989,39,158.69
16-04,8/1/1989,31,159.66
16-04,9/1/1989,36,160.75
16-04,10/1/1989,36,161.85
16-04,11/1/1989,36,162.94
16-04,12/1/1989,37,164.08
16-04,1/1/1990,34,165.12
16-04,2/1/1990,41,166.28
16-04,3/1/1990,37,167.42
16-04,4/1/1990,28,168.25
16-04,5/1/1990,27,169.08
16-04,6/1/1990,39,170.26
16-04,7/1/1990,38,171.44
16-04,8/1/1990,28,172.31
16-04,9/1/1990,29,173.18
16-04,10/1/1990,28,174.05
16-04,11/1/1990,29,174.92
16-04,12/1/1990,28,175.79
16-04,1/1/1991,28,176.66
16-04,2/1/1991,25,177.36
16-04,3/1/1991,26,178.15
16-04,4/1/1991,26,178.94
16-04,5/1/1991,21,179.60
16-04,6/1/1991,22,180.25
16-04,7/1/1991,17,180.77
16-04,8/1/1991,17,181.29
16-04,9/1/1991,23,181.98
16-04,10/1/1991,16,182.46
16-04,11/1/1991,24,183.18
16-04,12/1/1991,23,183.90
16-04,1/1/1992,19,184.49
16-04,2/1/1992,15,184.92
16-04,3/1/1992,14,185.34
16-04,4/1/1992,14,185.77
16-04,5/1/1992,11,186.12
16-04,6/1/1992,12,186.47
16-04,7/1/1992,11,186.82
16-04,8/1/1992,17,187.35
16-04,9/1/1992,22,187.99
16-04,10/1/1992,16,188.49
16-04,11/1/1992,16,188.98
16-04,12/1/1992,16,189.47
16-04,1/1/1993,16,189.96
16-04,2/1/1993,18,190.46
16-04,9/1/1993,23,191.16
16-04,10/1/1993,23,191.86
16-04,11/1/1993,19,192.44
16-04,12/1/1993,15,192.91
16-04,1/1/1994,15,193.39
16-04,2/1/1994,13,193.76
16-04,3/1/1994,9,194.04
16-35,1/1/1982,70,2.17
16-35,2/1/1982,71,4.15
16-35,3/1/1982,87,6.84
16-35,4/1/1982,88,9.49
16-35,5/1/1982,73,11.76
16-35,6/1/1982,87,14.38
16-35,7/1/1982,80,16.85
16-35,8/1/1982,80,19.35
16-35,9/1/1982,81,21.78
16-35,10/1/1982,72,24.01
16-35,11/1/1982,82,26.46
16-35,12/1/1982,83,29.02
16-35,1/1/1983,79,31.46
16-35,2/1/1983,72,33.47
16-35,3/1/1983,74,35.76
16-35,4/1/1983,51,37.31
16-35,5/1/1983,67,39.37
16-35,6/1/1983,51,40.89
16-35,7/1/1983,51,42.48
16-35,8/1/1983,51,44.07
16-35,9/1/1983,56,45.74
16-35,10/1/1983,57,47.49
16-35,11/1/1983,57,49.21
16-35,12/1/1983,55,50.92
16-35,1/1/1984,54,52.60
16-35,2/1/1984,70,54.62
16-35,3/1/1984,59,56.43
16-35,4/1/1984,46,57.81
16-35,5/1/1984,36,58.93
16-35,6/1/1984,48,60.38
16-35,7/1/1984,47,61.83
16-35,8/1/1984,37,62.98
16-35,9/1/1984,49,64.45
16-35,10/1/1984,41,65.71
16-35,11/1/1984,47,67.12
16-35,12/1/1984,46,68.54
16-35,7/1/1985,43,69.88
16-35,8/1/1985,43,71.22
16-35,9/1/1985,25,71.98
16-35,10/1/1985,11,72.31
16-35,11/1/1985,20,72.92
16-35,12/1/1985,18,73.47
16-35,1/1/1986,11,73.82
16-35,2/1/1986,12,74.16
16-35,3/1/1986,9,74.45
16-35,4/1/1986,5,74.60
